特闽FYtv,#genre#
tvbs台剧4Gtv,http://nmk.ioapk.com:5050/4gtv-live088/index.m3u8?proxy=true
八大精彩4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv034/index.m3u8?proxy=true
八大综艺4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv039/index.m3u8?proxy=true
三立综合4Gtv,http://nmk.ioapk.com:5050/4gtv-live207/index.m3u8?proxy=true
爱达娱乐4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv070/index.m3u8?proxy=true
靖洋戏剧4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv045/index.m3u8?proxy=true
靖洋卡通4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv057/index.m3u8?proxy=true
靖天卡通4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv044/index.m3u8?proxy=true
靖天综合4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv046/index.m3u8?proxy=true
靖天日本4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv047/index.m3u8?proxy=true
靖天欢乐4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv054/index.m3u8?proxy=true
靖天映画4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv055/index.m3u8?proxy=true
靖天戏剧4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv058/index.m3u8?proxy=true
靖天电影4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv061/index.m3u8?proxy=true
靖天育乐4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv062/index.m3u8?proxy=true
靖天国际4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv063/index.m3u8?proxy=true
靖天资讯4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv065/index.m3u8?proxy=true
龙华卡通4Gtv,http://nmk.ioapk.com:5050/litv-longturn01/index.m3u8?proxy=true
龙华日韩4Gtv,http://nmk.ioapk.com:5050/litv-longturn11/index.m3u8?proxy=true
龙华偶像4Gtv,http://nmk.ioapk.com:5050/litv-longturn12/index.m3u8?proxy=true
龙华电影4Gtv,http://nmk.ioapk.com:5050/litv-longturn03/index.m3u8?proxy=true
龙华洋片4Gtv,http://nmk.ioapk.com:5050/litv-longturn02/index.m3u8?proxy=true
龙华戏剧4Gtv,http://nmk.ioapk.com:5050/litv-longturn18/index.m3u8?proxy=true
龙华经典4Gtv,http://nmk.ioapk.com:5050/litv-longturn21/index.m3u8?proxy=true
国会频壹4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv084/index.m3u8?proxy=true
国会频贰4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv085/index.m3u8?proxy=true
好消息壹4Gtv,http://nmk.ioapk.com:5050/litv-ftv16/index.m3u8?proxy=true
好消息贰4Gtv,http://nmk.ioapk.com:5050/litv-ftv17/index.m3u8?proxy=true
大爱壹高4Gtv,http://nmk.ioapk.com:5050/4gtv-live007/index.m3u8?proxy=true
大爱贰高4Gtv,http://nmk.ioapk.com:5050/4gtv-live106/index.m3u8?proxy=true
人间卫视4Gtv,http://nmk.ioapk.com:5050/4gtv-live008/index.m3u8?proxy=true
原住民族4Gtv,http://nmk.ioapk.com:5050/4gtv-live014/index.m3u8?proxy=true
智林体育4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv101/index.m3u8?proxy=true
博斯魅力4Gtv,http://nmk.ioapk.com:5050/litv-longturn04/index.m3u8?proxy=true
博斯网球4Gtv,http://nmk.ioapk.com:5050/litv-longturn09/index.m3u8?proxy=true
博高球壹4Gtv,http://nmk.ioapk.com:5050/litv-longturn05/index.m3u8?proxy=true
博高球贰4Gtv,http://nmk.ioapk.com:5050/litv-longturn06/index.m3u8?proxy=true
博运动壹4Gtv,http://nmk.ioapk.com:5050/litv-longturn07/index.m3u8?proxy=true
博运动贰4Gtv,http://nmk.ioapk.com:5050/litv-longturn08/index.m3u8?proxy=true
博无限壹4Gtv,http://nmk.ioapk.com:5050/litv-longturn10/index.m3u8?proxy=true
博无限贰4Gtv,http://nmk.ioapk.com:5050/litv-longturn13/index.m3u8?proxy=true
阿里郎台4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv079/index.m3u8?proxy=true
滚动人生4Gtv,http://nmk.ioapk.com:5050/4gtv-live012/index.m3u8?proxy=true
达文西台4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv018/index.m3u8?proxy=true
猪哥亮厅4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv006/index.m3u8?proxy=true
亚洲旅游4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv076/index.m3u8?proxy=true
ELta旅游4Gtv,http://nmk.ioapk.com:5050/4gtv-live120/index.m3u8?proxy=true
美国之音4Gtv,http://nmk.ioapk.com:5050/litv-ftv03/index.m3u8?proxy=true
半岛新闻4Gtv,http://nmk.ioapk.com:5050/litv-ftv10/index.m3u8?proxy=true
非凡商业4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv048/index.m3u8?proxy=true
第壹商业4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv109/index.m3u8?proxy=true
影迷纪实4Gtv,http://nmk.ioapk.com:5050/litv-ftv15/index.m3u8?proxy=true
经典电影4Gtv,http://nmk.ioapk.com:5050/4gtv-live021/index.m3u8?proxy=true
经典卡通4Gtv,http://nmk.ioapk.com:5050/4gtv-live022/index.m3u8?proxy=true
精选动漫4Gtv,http://nmk.ioapk.com:5050/4gtv-live024/index.m3u8?proxy=true
戏剧壹台4Gtv,http://nmk.ioapk.com:5050/4gtv-live010/index.m3u8?proxy=true
古典音乐4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv059/index.m3u8?proxy=true
客家电视4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv043/index.m3u8?proxy=true
华仁纪实4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv013/index.m3u8?proxy=true
时尚运动4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv014/index.m3u8?proxy=true
空间居家4Gtv,http://nmk.ioapk.com:5050/4gtv-live206/index.m3u8?proxy=true
生活英语4Gtv,http://nmk.ioapk.com:5050/litv-longturn20/index.m3u8?proxy=true
互动英语4Gtv,http://nmk.ioapk.com:5050/4gtv-live030/index.m3u8?proxy=true
采昌影剧4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv049/index.m3u8?proxy=true
数位电影4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv011/index.m3u8?proxy=true
欧洲电影4Gtv,http://nmk.ioapk.com:5050/4gtv-live157/index.m3u8?proxy=true
Amc电影4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv017/index.m3u8?proxy=true
CINEMA-4Gtv,http://nmk.ioapk.com:5050/4gtv-live069/index.m3u8?proxy=true
TRA体育4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv077/index.m3u8?proxy=true
车迷体育4Gtv,http://nmk.ioapk.com:5050/4gtv-live201/index.m3u8?proxy=true
SMArt台4Gtv,http://nmk.ioapk.com:5050/litv-longturn19/index.m3u8?proxy=true
罪案侦查4Gtv,http://nmk.ioapk.com:5050/4gtv-live027/index.m3u8?proxy=true
霹雳布袋4Gtv,http://nmk.ioapk.com:5050/4gtv-live145/index.m3u8?proxy=true
金光布袋4Gtv,http://nmk.ioapk.com:5050/4gtv-live144/index.m3u8?proxy=true
nick动漫4Gtv,http://nmk.ioapk.com:5050/4gtv-live032/index.m3u8?proxy=true
nick少儿4Gtv,http://nmk.ioapk.com:5050/4gtv-live105/index.m3u8?proxy=true
MO-亲子4Gtv,http://nmk.ioapk.com:5050/4gtv-live107/index.m3u8?proxy=true
DreamW4Gtv,http://nmk.ioapk.com:5050/4gtv-live017/index.m3u8?proxy=true
LUXE-TV4Gtv,http://nmk.ioapk.com:5050/4gtv-live121/index.m3u8?proxy=true
rock娱乐4Gtv,http://nmk.ioapk.com:5050/4gtv-live080/index.m3u8?proxy=true
rock电影4Gtv,http://nmk.ioapk.com:5050/4gtv-live138/index.m3u8?proxy=true
HItS电影4Gtv,http://nmk.ioapk.com:5050/4gtv-live620/index.m3u8?proxy=true
magellan4Gtv,http://nmk.ioapk.com:5050/4gtv-live123/index.m3u8?proxy=true
INULTRa4Gtv,http://nmk.ioapk.com:5050/4gtv-live096/index.m3u8?proxy=true
LifeTime4Gtv,http://nmk.ioapk.com:5050/4gtv-live029/index.m3u8?proxy=true
电影原声4Gtv,http://nmk.ioapk.com:5050/4gtv-live031/index.m3u8?proxy=true
MTVLive4Gtv,http://nmk.ioapk.com:5050/4gtv-live025/index.m3u8?proxy=true
PETClUB4Gtv,http://nmk.ioapk.com:5050/4gtv-live110/index.m3u8?proxy=true
FUN娱乐4Gtv,http://nmk.ioapk.com:5050/4gtv-live011/index.m3u8?proxy=true
韩国娱乐4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv016/index.m3u8?proxy=true
GLOBAL4Gtv,http://nmk.ioapk.com:5050/4gtv-live112/index.m3u8?proxy=true
TV5mon4Gtv,http://nmk.ioapk.com:5050/4gtv-live122/index.m3u8?proxy=true
TRACEU4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv082/index.m3u8?proxy=true
BLoomb4Gtv,http://nmk.ioapk.com:5050/4gtv-live059/index.m3u8?proxy=true
FRANCE4Gtv,http://nmk.ioapk.com:5050/4gtv-live146/index.m3u8?proxy=true
MEZZOl4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv083/index.m3u8?proxy=true
GINX_TV4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv053/index.m3u8?proxy=true
DW-之声4Gtv,http://nmk.ioapk.com:5050/4gtv-live071/index.m3u8?proxy=true
历史频道4Gtv,http://nmk.ioapk.com:5050/4gtv-live026/index.m3u8?proxy=true
国家地理4Gtv,http://nmk.ioapk.com:5050/4gtv-live208/index.m3u8?proxy=true
东森购壹4Gtv,http://nmk.ioapk.com:5050/4gtv-live047/index.m3u8?proxy=true
东森购壹4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv102/index.m3u8?proxy=true
东森购壹4Gtv,http://nmk.ioapk.com:5050/of-4gtv-4gtv102/index.m3u8?proxy=true
东森购贰4Gtv,http://nmk.ioapk.com:5050/4gtv-live046/index.m3u8?proxy=true
东森购贰4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv103/index.m3u8?proxy=true
东森购贰4Gtv,http://nmk.ioapk.com:5050/of-4gtv-4gtv103/index.m3u8?proxy=true
东森购叁4Gtv,http://nmk.ioapk.com:5050/4gtv-live048/index.m3u8?proxy=true
东森购五4Gtv,http://nmk.ioapk.com:5050/4gtv-live049/index.m3u8?proxy=true
中天新闻4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv009/index.m3u8?proxy=true
中天新闻4Gtv,http://nmk.ioapk.com:5050/4gtv-4gtv009/index.m3u8?proxy=true
寰宇新闻4Gtv,http://nmk.ioapk.com:5050/li-litv-longturn14/index.m3u8?proxy=true
寰宇新闻4Gtv,http://nmk.ioapk.com:5050/of-litv-longturn14/index.m3u8?proxy=true
东森新闻4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv152/index.m3u8?proxy=true
tvbs新闻4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv072/index.m3u8?proxy=true
闽镜新闻4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv075/index.m3u8?proxy=true
民视新闻4Gtv,http://nmk.ioapk.com:5050/li-litv-ftv13/index.m3u8?proxy=true
中视新闻4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv074/index.m3u8?proxy=true
中视新闻4Gtv,http://nmk.ioapk.com:5050/of-4gtv-4gtv074/index.m3u8?proxy=true
华视新闻4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv052/index.m3u8?proxy=true
华视新闻4Gtv,http://nmk.ioapk.com:5050/of-4gtv-4gtv052/index.m3u8?proxy=true
台视新闻4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv051/index.m3u8?proxy=true
中视闽南4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv040/index.m3u8?proxy=true
中视闽南4Gtv,http://nmk.ioapk.com:5050/of-4gtv-4gtv040/index.m3u8?proxy=true
华视闽南4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv041/index.m3u8?proxy=true
华视闽南4Gtv,http://nmk.ioapk.com:5050/of-4gtv-4gtv041/index.m3u8?proxy=true
台视闽南4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv066/index.m3u8?proxy=true
寰宇闽南4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv156/index.m3u8?proxy=true
寰宇闽南4Gtv,http://nmk.ioapk.com:5050/of-4gtv-4gtv156/index.m3u8?proxy=true
tvbs闽南4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv073/index.m3u8?proxy=true
民视台湾4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv001/index.m3u8?proxy=true
民视第一4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv003/index.m3u8?proxy=true
民视旅游4Gtv,http://nmk.ioapk.com:5050/li-litv-ftv07/index.m3u8?proxy=true
民视影剧4Gtv,http://nmk.ioapk.com:5050/li-litv-ftv09/index.m3u8?proxy=true
民视综艺4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv004/index.m3u8?proxy=true
中视菁采4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv064/index.m3u8?proxy=true
中视经典4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv080/index.m3u8?proxy=true
公视戏剧4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv042/index.m3u8?proxy=true
闽南戏剧4Gtv,http://nmk.ioapk.com:5050/li-litv-longturn22/index.m3u8?proxy=true
国际财经4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv104/index.m3u8?proxy=true
东森财经4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv153/index.m3u8?proxy=true
寰宇财经4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv158/index.m3u8?proxy=true
寰宇财经4Gtv,http://nmk.ioapk.com:5050/of-4gtv-4gtv158/index.m3u8?proxy=true
tvbs精采4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv067/index.m3u8?proxy=true
tvbs欢乐4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv068/index.m3u8?proxy=true
八大精彩4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv034/index.m3u8?proxy=true
八大综艺4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv039/index.m3u8?proxy=true
爱达娱乐4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv070/index.m3u8?proxy=true
靖洋戏剧4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv045/index.m3u8?proxy=true
靖洋卡通4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv057/index.m3u8?proxy=true
靖天卡通4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv044/index.m3u8?proxy=true
靖天综合4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv046/index.m3u8?proxy=true
靖天日本4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv047/index.m3u8?proxy=true
靖天欢乐4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv054/index.m3u8?proxy=true
靖天映画4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv055/index.m3u8?proxy=true
靖天戏剧4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv058/index.m3u8?proxy=true
靖天电影4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv061/index.m3u8?proxy=true
靖天育乐4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv062/index.m3u8?proxy=true
靖天国际4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv063/index.m3u8?proxy=true
靖天资讯4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv065/index.m3u8?proxy=true
龙华卡通4Gtv,http://nmk.ioapk.com:5050/li-litv-longturn01/index.m3u8?proxy=true
龙华日韩4Gtv,http://nmk.ioapk.com:5050/li-litv-longturn11/index.m3u8?proxy=true
龙华偶像4Gtv,http://nmk.ioapk.com:5050/li-litv-longturn12/index.m3u8?proxy=true
龙华电影4Gtv,http://nmk.ioapk.com:5050/li-litv-longturn03/index.m3u8?proxy=true
龙华洋片4Gtv,http://nmk.ioapk.com:5050/li-litv-longturn02/index.m3u8?proxy=true
龙华戏剧4Gtv,http://nmk.ioapk.com:5050/li-litv-longturn18/index.m3u8?proxy=true
龙华经典4Gtv,http://nmk.ioapk.com:5050/li-litv-longturn21/index.m3u8?proxy=true
国会频壹4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv084/index.m3u8?proxy=true
国会频壹4Gtv,http://nmk.ioapk.com:5050/of-4gtv-4gtv084/index.m3u8?proxy=true
国会频贰4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv085/index.m3u8?proxy=true
国会频贰4Gtv,http://nmk.ioapk.com:5050/of-4gtv-4gtv085/index.m3u8?proxy=true
好消息壹4Gtv,http://nmk.ioapk.com:5050/li-litv-ftv16/index.m3u8?proxy=true
好消息壹4Gtv,http://nmk.ioapk.com:5050/of-litv-ftv16/index.m3u8?proxy=true
好消息贰4Gtv,http://nmk.ioapk.com:5050/li-litv-ftv17/index.m3u8?proxy=true
好消息贰4Gtv,http://nmk.ioapk.com:5050/of-litv-ftv17/index.m3u8?proxy=true
智林体育4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv101/index.m3u8?proxy=true
阿里郎台4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv079/index.m3u8?proxy=true
达文西台4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv018/index.m3u8?proxy=true
猪哥亮厅4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv006/index.m3u8?proxy=true
亚洲旅游4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv076/index.m3u8?proxy=true
亚洲旅游4Gtv,http://nmk.ioapk.com:5050/of-4gtv-4gtv076/index.m3u8?proxy=true
美国之音4Gtv,http://nmk.ioapk.com:5050/li-litv-ftv03/index.m3u8?proxy=true
半岛新闻4Gtv,http://nmk.ioapk.com:5050/li-litv-ftv10/index.m3u8?proxy=true
影迷纪实4Gtv,http://nmk.ioapk.com:5050/li-litv-ftv15/index.m3u8?proxy=true
古典音乐4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv059/index.m3u8?proxy=true
客家电视4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv043/index.m3u8?proxy=true
华仁纪实4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv013/index.m3u8?proxy=true
时尚运动4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv014/index.m3u8?proxy=true
生活英语4Gtv,http://nmk.ioapk.com:5050/li-litv-longturn20/index.m3u8?proxy=true
生活英语4Gtv,http://nmk.ioapk.com:5050/of-litv-longturn20/index.m3u8?proxy=true
采昌影剧4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv049/index.m3u8?proxy=true
数位电影4Gtv,http://nmk.ioapk.com:5050/li-4gtv011/index.m3u8?proxy=true
Amc电影4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv017/index.m3u8?proxy=true
TRA体育4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv077/index.m3u8?proxy=true
SMArt台4Gtv,http://nmk.ioapk.com:5050/li-litv-longturn19/index.m3u8?proxy=true
韩国娱乐4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv016/index.m3u8?proxy=true
TRACEU4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv082/index.m3u8?proxy=true
MEZZOl4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv083/index.m3u8?proxy=true
GINX_TV4Gtv,http://nmk.ioapk.com:5050/li-4gtv-4gtv053/index.m3u8?proxy=true
